Id Empleado;Nombre;Domicilio;Id Localidad;Id Provincia;Telefono;Puesto;CumpleaÃ±os;Fecha de Ingreso
1;Joey Bagster;3 Superior Junction;96;6;(421) 5310583;Recepción;1950-12-19;2006-09-21
2;Wandie Blaker;2022 Moulton Drive;25;9;(974) 9308039;Atención al Cliente;1971-04-03;2017-01-16
3;Shaun Olliar;848 Messerschmidt Crossing;43;24;(301) 8859178;Ventas;1952-09-05;2000-04-22
4;Corina Danilyuk;18 Hoepker Pass;46;18;(421) 9010453;Ventas;1953-08-31;2003-07-01
5;Lark Trighton;629 Johnson Court;14;20;(411) 1315205;Ventas;1959-05-09;2004-08-19
6;Artemis Skryne;282 Drewry Pass;46;24;(937) 7169043;Caja;1955-03-22;2012-08-29
7;Padget Sandford;63134 Ridgeway Alley;33;17;(384) 5225824;Caja;1979-07-22;2009-01-11
8;Mal Roath;881 Sherman Trail;63;16;(832) 7364074;Post Venta;1986-08-17;2023-03-07
9;Richmound Dumke;33 Muir Junction;52;19;(293) 6604820;Maestranza;1981-07-23;2003-12-12
10;Tandy Chansonnau;8 Briar Crest Road;33;13;(192) 7887685;Depósito;1960-11-16;2016-10-21
11;Gene Permain;356 Reindahl Place;50;26;(374) 1060773;Administración;1956-10-22;2002-06-05
12;Stillmann Jerke;77185 Rieder Avenue;56;24;(499) 3279147;Recepción;1976-04-29;1998-09-14
13;Bridgette Degoe;99 Westridge Plaza;66;7;(859) 9489349;Atención al Cliente;1993-12-15;2016-08-04
14;Averill Deneve;05 Buell Court;25;6;(457) 4695241;Ventas;1972-01-31;2013-04-06
15;Angil Sizeland;331 Esker Street;88;10;(178) 9293027;Ventas;1979-10-05;2001-10-04
16;Beatriz Krelle;226 Manufacturers Place;27;6;(740) 4442642;Ventas;1972-09-23;2013-09-18
17;Marylin Raisbeck;22 Lunder Plaza;64;15;(378) 7917969;Caja;1968-03-24;2023-07-22
18;Will Perfili;30 Gale Alley;44;15;(903) 1844590;Caja;1976-02-20;1999-04-28
19;Salem Spanton;0843 Golf Pass;88;21;(503) 3346151;Post Venta;1980-01-30;2004-10-14
20;Ava Viegas;3 Declaration Street;56;4;(298) 6669137;Maestranza;1964-05-07;2002-06-26
21;Erek Wennington;71 Crowley Lane;55;12;(865) 3211745;Depósito;1960-05-11;2018-07-21
22;Daile Ivoshin;5 Steensland Plaza;59;9;(641) 5564668;Administración;1977-09-19;2018-10-08
23;Nicola Ferriday;369 Vernon Place;23;15;(971) 3408066;Recepción;2000-10-25;1990-01-23
24;Addi Stailey;874 Novick Lane;87;17;(884) 7549628;Atención al Cliente;1955-11-04;2018-01-15
25;Georgeanna Heinig;968 Merry Hill;70;22;(812) 9808528;Ventas;1989-03-02;1996-06-21
26;Worthington Adrienne;45244 Judy Court;58;26;(545) 6212873;Ventas;1993-02-27;2003-03-29
27;Flori Bagnal;1 Gale Lane;89;8;(640) 8092712;Ventas;1999-05-21;1991-06-01
28;Land Roads;108 Farwell Junction;99;25;(535) 6100559;Caja;1975-05-20;2015-02-25
29;Waldo Bruton;4 Longview Place;97;21;(816) 1689838;Caja;1950-08-08;2009-04-19
30;Lion Olohan;115 Oak Valley Terrace;43;6;(268) 1007512;Post Venta;1977-10-03;1990-05-03
31;Elmira Binne;99 Londonderry Park;2;17;(414) 2388895;Maestranza;1952-06-02;2000-02-10
32;Ede Drakes;80 Katie Park;46;10;(893) 8632582;Depósito;1978-12-08;2019-09-01
33;Asa Sawkins;3720 Fallview Pass;78;10;(583) 8097058;Administración;1965-04-07;2000-03-18
34;Diena Rosser;8 Fieldstone Place;82;3;(992) 3884851;Recepción;1975-06-10;2013-12-30
35;Cristobal Tingcomb;3534 Mesta Road;88;24;(404) 4179387;Atención al Cliente;1992-02-17;2002-04-09
36;Jeanna Perone;57505 Badeau Trail;77;8;(854) 1986638;Ventas;1989-07-22;2020-09-20
37;Aurlie Mowling;8546 Pawling Trail;17;5;(552) 4818233;Ventas;1976-12-22;2018-06-23
